Node	Genes
AKT	AKT1, AKT2, AKT3
AR	AR
beta_catenin	CTNNB1
Caspase8	CASP8
Caspase9	CASP9
Cell_cycle	ANAPC1, CDH2, CCNA2, CCNB1, CCND1, CCNE1
DHT	
EGF	EGF
EGFR	EGFR
ERK1_2	MAPK3, MAPK1
GSK3	GSK3A, GSK3B
HSP27	HSPB1
IGF_1	IGF1
IGF1_R	IGF1R
IKK	CHUK, IKBKB
IL6	IL6
IL6R	IL6R
Jak	JAK1
JNK	MAPK8, MAPK9, MAPK10
MEK	MAP2K1
mTOR	MTOR
MYC	MYC
NFkB	NFKB1
p38	MAPK13, MAPK14
p53	TP53
PI3K	PIK3CA
Rac	RAC1
RAS	KRAS
RPS6	RPS6
Stat3	STAT3
Stress	
Survival	
TNFa	TNF
TNFR	TNFRSF1A
