"","AKT","BAD","BCL2_T","BIM_T","ESR1","FOXA1","FOXO3","HER2","HER3_T","IGF1R_T","KMT2D","MAPK","MCL1","mTORC1","MYC","PBX1","PDK1","PI3K","PRAS40","pRb","PTEN","S6K","SGK1_T","mTORC2","CDK46","cycE_CDK2_T","cyclinD","E2F","EIF4F","p21_p27_T","PIM","RAS","TSC"
"MB-0048",0.116085401702794,0.454882905323652,0.46877770262926,0.0675793393096988,0.228612070261174,0.34293970281573,0.322995751696238,0.94824190714842,0.0880309637318407,0.328811888822863,0.622744205871863,0.776883903023242,0.503807302741878,0.0493673052818564,0.273280078604403,0.232129562214701,0.100339077571644,0.998626690392804,0.46212626610919,0.892460518578601,0.923600497872642,0.864393497274558,0.562233362563482,0.0493673052818564,0.531833840999963,0.46893483805004,0.405026422125776,0.476159504145727,0.466267496422579,0.720559479283471,0.399810224953634,0.504791866585861,0.393021199715666
"MB-0050",0.204471557587976,0.23842834287446,0.625065397145671,0.689522229772518,0.994145857394187,0.428145000701715,0.62599395748058,0.458995835434062,0.362897674142587,0.628178841884301,0.806008864868714,0.279005957707264,0.72221166582894,0.496739950246956,0.830711850148432,0.258197719602572,0.532775727357172,0.240721251223584,0.423015171818601,0.621545815994936,0.774913345227203,0.519636372171987,0.485619130454286,0.496739950246956,0.498632942552407,0.247664726509187,0.643127598636174,0.41672378581175,0.505124900809545,0.575802291099157,0.703296664204549,0.273170078575031,0.316493609102711
"MB-0053",0.109211335270859,0.966485067123305,0.878043771251935,0.200422658007169,0.999999989951716,0.392717377891287,0.115648130641223,0.160172742913549,0.135570812072083,0.525561819629247,0.762219487951455,0.511467602688971,0.402747201658662,0.0137833521424783,0.217037917057328,0.278571663259377,0.187888500504813,0.999642870635581,0.577974840703996,0.940803007823761,0.708757282829102,0.942168660101145,0.415957862381902,0.0137833521424783,0.346013531654128,0.42372784797812,0.299871829468541,0.55327365302636,0.371008769799591,0.739267264168542,0.546847143416468,0.455164678776864,0.306951580430308
"MB-0054",0.0807081996863497,0.84134980013509,0.631856922818291,0.669687602063659,0.999761561367619,0.293655224708468,0.276057615706209,0.205358121698596,0.0855492779911353,0.261386842342456,0.420508016484727,0.777089973488272,0.356016049527273,0.073983575321673,0.560412117902639,0.323596604932709,0.0652230452277007,0.997035225320673,0.835447735711772,0.747680721337364,0.70688551650801,0.942134027404322,0.681892058097141,0.073983575321673,0.333489354343983,0.664243903928836,0.313600136047985,0.453361679822042,0.408869578707294,0.772565414746103,0.442792044897406,0.632135200137166,0.0982795234118231
"MB-0056",0.149569674530532,0.969764824567392,0.544715314186165,0.348251267611091,0.99999953358049,0.321882550170334,0.0125233900383413,0.0888170941153279,0.0861035104379777,0.748486014011513,0.933378205252355,0.393416118846888,0.428365352115439,0.0563295513042476,0.402918064711072,0.100509583295903,0.176615297982374,0.990431885333567,0.12224350985093,0.939217448768525,0.777090097956906,0.873418849880536,0.486058541959529,0.0563295513042476,0.405026293675306,0.701423433995425,0.221539813947142,0.471944176114294,0.444214200369695,0.737084455757806,0.383433357805493,0.600680041666738,0.052333017151363
"MB-0060",0.50823176013765,0.253671546567726,0.300749142890306,0.596459703065769,0.191781439306131,0.43332163777206,0.521793270007397,0.163662273001896,0.0773433636719104,0.224570968300379,0.65665111107971,0.55507416987176,0.672786247600608,0.411475952802854,0.887280425261244,0.394780915951082,0.676221376493027,0.377363515662942,0.67780806106816,0.204335281124424,0.00218885763758621,0.148066520634739,0.574309910577947,0.411475952802854,0.758133939695696,0.846824401480507,0.402575124633391,0.833755376303944,0.549219268321564,0.636095321675136,0.675389333440227,0.428802464835674,0.341752530433742
"MB-0062",0.336640688726555,0.901542253982639,0.272244880774385,0.60046893654618,1.71595820118705e-05,0.000371719681028503,0.110016256229112,0.0311133345837903,0.119343413435948,0.302356582528595,0.822281573388587,0.937104625341735,0.685278386514487,0.204355408291787,0.69822831591707,0.0565472740625818,0.278842686466638,0.993233849957687,0.507047835262408,0.421927671178792,0.280726094731542,0.420219488299341,0.577941221249602,0.204355408291787,0.78697697134882,0.849908710033427,0.354222276435983,0.736206518474884,0.460187035877595,0.56809121726298,0.691853970107318,0.75371594875804,0.0838283015386719
"MB-0064",0.335841963887612,0.720127745808387,0.716179272315843,0.4858185599775,0.999998388916215,0.684071377125105,0.224970961459111,0.0622023983970976,0.0568917078013331,0.716573167942888,0.848451457249355,0.322972118662976,0.28226108976176,0.0948930462130424,0.449172531211565,0.251079573262241,0.215916468238719,0.844993538964631,0.717245474765391,0.702574497827549,0.89873271462564,0.792761518670247,0.299919405943931,0.0948930462130424,0.265475388315067,0.32305104209473,0.224278074822595,0.539732401270062,0.464342406139611,0.512411041171648,0.410760429088539,0.416909132547289,0.414496546012263
"MB-0066",0.704327817059775,0.895975791147561,0.533083717783509,0.248662855021811,0.999994191223476,0.625373949547873,0.493410670135958,0.511321820708398,0.299706477818112,0.562556939218719,0.550903296795451,0.413437185418134,0.738755250921909,0.202854651520086,0.270237817054541,0.600610233827246,0.737366045290826,0.513219312096965,0.474628808735974,0.582851196996689,0.352946458044848,0.411799858714399,0.724336244189239,0.202854651520086,0.406139623745666,0.459817371841846,0.565892675680304,0.529259262361285,0.28688106525786,0.563376387796726,0.607564261362173,0.489269741589681,0.415596321844057
"MB-0068",0.411293972643133,0.917935068967454,0.623989334026332,0.265384295041873,0.998710041640246,0.662185166829317,0.194126171550216,0.11968818486976,0.287775466694393,0.56145720693863,0.829433122652804,0.576485794231593,0.477439799265269,0.192639052997865,0.2733725862594,0.384363311991567,0.0976398658119306,0.981445134130396,0.111369586836197,0.766304359456805,0.91949871989902,0.303093009669866,0.449724165821133,0.192639052997865,0.42913674395964,0.405575168984315,0.35941377842897,0.424904115679069,0.49098226695667,0.654605709216324,0.206018697916454,0.602966487049136,0.273956695116735
