"","AKT","AMP_ATP","AMPK","APC","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","Cdc20","Cdh1","CHK1_2","COX412","CyclinA","E_cadherin","eEF2","ERK1_2","FOXO","GLUT1","GSH","GSK_3","HIF1","JNK","LDHA","MAX","Mdm2","Miz_1","mTOR","MXI1","MYC","NF1","NF_kB","p14ARF","p15","p21","p53","p70S6kab","p90RSK","PDK1","PHDs","PI3K","PKC","PTEN","Rheb","ROS","Slug","Snail","TAK1","TERT","TGFbeta","TNFalpha","TSC1_2","UbcH10","VHL","WNT","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","E2F","GLI","Raf","RAGS","Ras","RTK","Smad2_3_Smad4","TCF","VEGF"
"MB-0036",0.234147704116039,0.985917624812244,0.196127384961028,0.784382115955825,0.876224209639376,0.266594949951296,0.731319016003396,0.692807878973942,0.218619236131857,0.86309778641362,0.583608347930999,0.461315277769953,0.475272814116061,0.49962395585585,0.282317972054487,0.458997476908322,0.30541019035809,0.552163478571314,0.600002988434874,0.459168146824709,0.411148041953633,0.389709221750081,0.721364648107591,0.576473381673373,0.284839743917878,0.451905554953031,0.289394301585924,0.294612838217289,0.770711664183703,0.318578098644819,0.455105942566158,0.229273462837513,0.758201052774114,0.543301630364072,0.894290982660368,0.230628279693436,0.375023402413105,0.843965307650886,0.335032039681779,0.403962599576444,0.83180459900024,0.216840386079551,0.699930507056487,0.263213217953321,0.439605081650414,0.275827103093827,0.478813583219447,0.328034348029053,0.408286677502758,0.661173774231833,0.345896237654296,0.170287312126766,0.519885138844308,0.115750290062737,0.126760831484944,0.422417226075267,0.738191440869998,0.448177032449786,0.365873679411659,0.372063039631059,0.600360452583562,0.54547653184751,0.313021241878685,0.379984834155089,0.37106206985011,0.537294839749521,0.376872076253786,0.664235951373749,0.486368809129199,0.601396434433723,0.605298432109588,0.346518732845529,0.454255580565259
"MB-0039",0.130794560260555,0.549128136385576,0.554788767152706,0.993404872281506,0.936629429777823,0.955069171317538,0.570580960748674,0.874257787844883,0.155995668202818,0.202424352022983,0.267757306512485,0.618246940790231,0.14842677736182,0.276455286933602,0.496515252153727,0.169523220201609,0.266406948484098,0.466899458197396,0.218822210059772,0.283656596553578,0.554523149964502,0.320447349516308,0.557759316086026,0.901935935682136,0.748290094289252,0.377028632198432,0.521636199760031,0.867986659076849,0.179566974075564,0.100021509635726,0.100619498319821,0.79180081736906,0.158582348103537,0.217079525843642,0.329609518497621,0.729646159150041,0.236439560065708,0.413002338271759,0.0990467867556239,0.818517696806524,0.312521345336479,0.88434942490668,0.569552607717345,0.998683348701057,0.158162140690405,0.831931594540503,0.116213882482102,0.42771963982637,0.0988471242849798,0.571389497037463,0.706608856034833,0.752629743330435,0.199244331898863,0.0143437110961027,0.0106266952041364,0.17015647245402,0.10987296652455,0.290138242630237,0.509508650436208,0.988317984242043,0.583974881094837,0.297914420243883,0.767250013227123,0.198024768102708,0.384336896867432,0.32960851524717,0.344732971983607,0.75259430920388,0.571710268672533,0.501050680311311,0.462437046958641,0.146446336943972,0.190184101222422
"MB-0045",0.305327395531297,0.487900555580457,0.564069021061508,0.552409235827927,0.294453606910826,0.343865849042394,0.521693578188148,0.534782805684757,0.458641230229461,0.71541423063622,0.922514360670809,0.269367291182218,0.516854891169479,0.789067131269446,0.759862176704577,0.922892401673835,0.634963964519799,0.478578644460459,0.415975196698324,0.879143564412271,0.825823684171298,0.412687392435013,0.271319681763695,0.569505750328089,0.705029258211966,0.87673611372944,0.550249188055205,0.648107498385004,0.593524333934602,0.507763974581287,0.217906802039723,0.634040722984009,0.867672617149454,0.45774798709999,0.804030414188095,0.196957345193204,0.104482860738015,0.766935723912742,0.599249720536932,0.653244802960883,0.777350061633696,0.261012501727016,0.388647987118141,0.560015407971717,0.979654726066299,0.654336395769513,0.750629994380593,0.253898108075302,0.795186055263593,0.603680350903249,0.634835662410028,0.39376890876916,0.436348284474503,0.817151156913497,0.13247815311917,0.545759219802762,0.804682267597352,0.526161376163242,0.500644279357545,0.542078545453856,0.361513429979256,0.656341511461639,0.556747197006972,0.328980572464319,0.543292395035091,0.582675054123309,0.432240835683561,0.346136825668477,0.428119212485067,0.541037626775625,0.651223012016876,0.644565256318365,0.451784023863091
"MB-0046",0.575665168533974,0.847384700721133,0.323792125152181,0.534273274924243,0.724309922395253,0.758686248715741,0.946873849828417,0.286213878996324,0.279385005829106,0.748438171043424,0.69615007501087,0.586575997685904,0.730262424328567,0.725291392676257,0.829315073053807,0.44922948242324,0.7107219333776,0.816088850587151,0.288768126716343,0.450858195219209,0.248127776085023,0.481689978849705,0.482019498051246,0.690598108933009,0.607081026330188,0.508000036100461,0.647968950707738,0.682627152964222,0.530785062089109,0.538834728571782,0.768459382142297,0.494643483840064,0.494568529109009,0.393687018973884,0.429833206228895,0.264024331983419,0.310252620176376,0.671906884254133,0.501458497992489,0.346877272581316,0.554806699067438,0.626533745211476,0.454699637705279,0.269019485244393,0.32950210438829,0.704513141483329,0.619181896225369,0.595379456687965,0.479978637743505,0.314557336100454,0.621407191327109,0.705466105520555,0.371728989734863,0.159561212583763,0.536912852182231,0.647767051447919,0.889376851944966,0.672546541070676,0.461562901606318,0.370631809708281,0.745344591375777,0.519408382128483,0.665943018382366,0.393938582870807,0.569150723214903,0.273770811933477,0.588332256119365,0.431497805249356,0.516544080818857,0.520601715656519,0.426036898941095,0.282074301393499,0.488572826612764
"MB-0048",0.116085401702794,0.392181880458952,0.910335235382963,0.688194570936105,0.454882905323652,0.635044598658064,0.242500341552382,0.46877770262926,0.164747512707658,0.454270625283954,0.623517647825995,0.594716866849551,0.160704993171821,0.192101303489052,0.515877319122566,0.566501165311043,0.515159833432639,0.191827795102241,0.191138999862748,0.776883903023242,0.832417189993632,0.134237564119593,0.11308689059142,0.757768443839696,0.818153155514404,0.64914829376483,0.605492565045418,0.913693953104598,0.355900516230383,0.0543201706302841,0.0493673052818564,0.571987326722745,0.273280078604403,0.30313693922872,0.271362018278283,0.243001214836967,0.696949719090248,0.46575867196042,0.64565011447783,0.864393497274558,0.0946501733432528,0.797418625092635,0.163913323010481,0.998626690392804,0.836556430432666,0.923600497872642,0.750968672824809,0.215365015946606,0.812916403218108,0.323897998342794,0.968276492196436,0.856689152117685,0.30111164155344,0.0687471288213284,0.0506470513821496,0.34894961546309,0.330504858544003,0.33596978433596,0.892460518578601,0.975360286606522,0.559737692230164,0.405026422125776,0.598281720168463,0.202761047232754,0.476159504145727,0.455165428126373,0.245169872236754,0.44480073035895,0.504791866585861,0.513128860360552,0.687854494022327,0.379711478751272,0.40598108731219
"MB-0050",0.204471557587976,0.844640314167198,0.68391079396576,0.619021987917339,0.23842834287446,0.399584704579171,0.622062884888922,0.625065397145671,0.325952836438074,0.806681059262152,0.685464393071483,0.243397137511245,0.209437366645817,0.522615020891543,0.253911339249472,0.293688061264591,0.286373675557819,0.681543249221651,0.677465678053,0.279005957707264,0.750395583545307,0.148624318641516,0.2306981742739,0.228767473227014,0.286102978014487,0.786150381069286,0.46700782326376,0.337095613940367,0.448834555161675,0.53783124164694,0.496739950246956,0.779251962160612,0.830711850148432,0.28800679692829,0.349553977816826,0.200465054131819,0.28342760629227,0.689316720795405,0.86537628855927,0.519636372171987,0.316041295998148,0.630868428426697,0.346107363909638,0.240721251223584,0.678316049629193,0.774913345227203,0.540613528301839,0.162875105235051,0.819897322389744,0.153319376220275,0.70192487955238,0.227682507848144,0.274114411117342,0.560505186003034,0.208324193416816,0.168923842979442,0.626492914256938,0.513850868733415,0.621545815994936,0.46228786140291,0.333473682747876,0.643127598636174,0.217492258406116,0.66670420794621,0.41672378581175,0.81431665391342,0.436724002438284,0.304122811520588,0.273170078575031,0.563864172626067,0.642251477675251,0.544130587596294,0.532142756070887
"MB-0053",0.109211335270859,0.548767702646211,0.499425322937103,0.899051986858151,0.966485067123305,0.912502302523851,0.661025331704813,0.878043771251935,0.557078339199503,0.226309166274324,0.699066642629076,0.547955848593827,0.275045473383375,0.233307086165806,0.605651621425597,0.678145730006362,0.730263757891775,0.411871774846927,0.0681509235734836,0.511467602688971,0.23669222547896,0.412901977152952,0.315516450147101,0.655378478648387,0.595298318120904,0.766637956255959,0.148327455017724,0.942426674053765,0.694916547503903,0.0123092987528549,0.0137833521424783,0.840804575775007,0.217037917057328,0.134739032147261,0.202899814653504,0.926451995498175,0.635631405386123,0.696357880727884,0.313789622274751,0.942168660101145,0.0744232836409526,0.444145528494383,0.727428056688959,0.999642870635581,0.506567330686656,0.708757282829102,0.700921770601351,0.251631234024435,0.38870338747014,0.364070585603508,0.735850758347302,0.85983664698766,0.31602556325681,0.032987867466768,0.0539101522036076,0.568909447180212,0.279526633995216,0.568163694066365,0.940803007823761,0.782176647609201,0.594112570262859,0.299871829468541,0.472641918600442,0.158850796234025,0.55327365302636,0.41073112998068,0.338317884457389,0.795824718389122,0.455164678776864,0.489517410285027,0.733067301635233,0.196821135236487,0.355509392588108
"MB-0054",0.0807081996863497,0.503636102497056,0.750850102557458,0.407266154297254,0.84134980013509,0.694174548568204,0.680597667244492,0.631856922818291,0.178548861893251,0.340804399348929,0.486201314115638,0.177997058830042,0.387113794804044,0.131202927617399,0.692744902848019,0.0999719040425407,0.760203057026439,0.431420232359364,0.164167383983381,0.777089973488272,0.461225519365012,0.52678492904561,0.173704174073332,0.0911305207143244,0.931593829501808,0.254519219759687,0.867117061873875,0.581910149397845,0.121781830857315,0.0729801948622888,0.073983575321673,0.302435585667873,0.560412117902639,0.151906258721686,0.164129581746269,0.8892868996334,0.49643285543541,0.577776536496892,0.0861320185997481,0.942134027404322,0.22635048769099,0.708137809077141,0.0940846874220158,0.997035225320673,0.630650272435846,0.70688551650801,0.59904390653633,0.958042883223726,0.620911621605364,0.0664746157913589,0.913371260480359,0.77188620592295,0.219805772115535,0.0745480350575591,0.00897459607009632,0.435241685294461,0.142066338835982,0.239289004243885,0.747680721337364,0.967354292995313,0.548155030606304,0.313600136047985,0.781021020711657,0.199677922103874,0.453361679822042,0.25354158815339,0.226834184032102,0.448711501521717,0.632135200137166,0.427506558224101,0.560700687857088,0.203867514958949,0.279340885082601
"MB-0056",0.149569674530532,0.778262062550329,0.771268382056067,0.337129511099675,0.969764824567392,0.445715429933472,0.794835453538633,0.544715314186165,0.197846270486708,0.649281668199915,0.787165505499951,0.267799477035875,0.226804655736374,0.0761900826428999,0.776836462695793,0.622454572883605,0.818104174319398,0.282146652969743,0.049186075770521,0.393416118846888,0.194725189983283,0.290931962104743,0.531682952475104,0.803793481595661,0.822180181790023,0.692439986418786,0.643094017016969,0.905809179971419,0.126265211041764,0.128218248796055,0.0563295513042476,0.522809311383808,0.402918064711072,0.0513134697827656,0.040276586446752,0.450360064965491,0.476058470504359,0.504090654174495,0.27624711622399,0.873418849880536,0.235945928740186,0.56701079207539,0.311122377129715,0.990431885333567,0.327166082078468,0.777090097956906,0.847054466612149,0.269192092099577,0.616153309947801,0.698837075976094,0.162940820413225,0.89050501307026,0.635158643924447,0.00960389239633517,0.0184764223578097,0.553509043978726,0.581973439540346,0.345999209910777,0.939217448768525,0.970078257341117,0.565408886765755,0.221539813947142,0.779178842539877,0.171899020273253,0.471944176114294,0.592707866820458,0.136469559308208,0.437138125769663,0.600680041666738,0.468445334531285,0.61388792534359,0.148716348712174,0.288411928354419
"MB-0060",0.50823176013765,0.929797650000314,0.30333399366763,0.558320355463779,0.253671546567726,0.90550722110817,0.626089456550191,0.300749142890306,0.254156263094904,0.244720463871555,0.870202222766481,0.234437684356565,0.869475020290338,0.794787956597963,0.987669404767409,0.160107888343424,0.791108328595269,0.612859425219998,0.264992230638758,0.55507416987176,0.189992759630477,0.888334952217268,0.838080051685011,0.542239650910314,0.678263638307777,0.607244056743461,0.888035322770827,0.896213310828021,0.649848182524671,0.54993333910185,0.411475952802854,0.858205284035856,0.887280425261244,0.361123152738935,0.36307045555258,0.999918192127602,0.145937402742237,0.792535342117077,0.0686199925389925,0.148066520634739,0.648618173352006,0.607618741468558,0.190351098777237,0.377363515662942,0.211516773897445,0.00218885763758621,0.865782295676335,0.185408252479539,0.0987789520882393,0.289431775673166,0.525699372121263,0.546319226300866,0.488903963660692,0.224549308662768,0.506330430860863,0.758648077910198,0.720621774575959,0.812085433797982,0.204335281124424,0.479655301233195,0.604599200800001,0.402575124633391,0.84020987776873,0.625495742282758,0.833755376303944,0.391954075287914,0.424934696774202,0.418777223349821,0.428802464835674,0.381663728690541,0.606377973470925,0.455723690212672,0.548685542286845
