"","AKT","AMPK","BAD","Bak","BAX","BCL2","Bcl_XL","beta_catenin","Caspase8","Caspase9","CHK1_2","E_cadherin","eEF2","eEF2K","ERK1_2","GSK_3","JNK","mTOR","MYC","NF_kB","p14ARF","p21","p53","p70S6kab","p90RSK","PDK1","PI3K","PKC","PTEN","Snail","TSC1_2","Rb","p27","CyclinB","CyclinD","CyclinE","Dsh","Raf","Ras","RTK","Smad2_3_Smad4"
"TCGA-A2-A04V-01",0.300464574375314,0.789025228489043,0.577363044248683,0.67349783969236,0.384142817048096,0.83371633984624,0.177654563469034,0.51890214310543,0.273908097052285,NA,0.26530526407496,0.56181351320135,0.539132511772193,0.685258060081784,0.490968482984762,0.3374396186691,0.457647165113584,0.574929321256323,0.26077875832206,0.671946622986642,0.519944513543312,0.749494100689813,0.281711762335928,0.411685606675894,0.182044080806654,0.83827717341742,0.773269402061818,0.589890754382182,0.536013877126603,0.547364560124491,0.440448285731387,0.220022605777862,0.670972118470872,0.428157631767303,0.387410502797255,0.585998610849107,0.77625578751057,0.710203579272969,0.753361265819187,0.734199590269227,0.72821340462421
"TCGA-A2-A04W-01",0.728080353451366,0.484772282264125,0.555328375654762,0.23660389029507,0.424020282195939,0.169180306480315,0.249447236032438,0.32503045361873,0.658886551634014,NA,0.492982566888477,0.256446094643974,0.483868852469242,0.430275310759688,0.613692476061972,0.524048875646836,0.673724825504652,0.194545119791608,0.549659028686767,0.479429094752433,0.750525373228371,0.861806922188551,0.698951755013234,0.260293901896834,0.226821088185873,0.563161810305031,0.437057700427403,0.630687267707071,0.46860688957047,0.918289081322215,0.198210304061625,0.448095897151804,0.4148298741571,0.632923584068906,0.683347095927073,0.610717277459463,0.713471980569784,0.519794209728638,0.53308161984138,0.607493296869591,0.387157438909414
"TCGA-A2-A04Y-01",0.368611259172982,0.177857058761942,0.810962067673829,0.522259817817959,0.671148817635679,0.559792384951026,0.486641441397338,0.662828868637012,0.600224109807147,NA,0.31839295640997,0.765472097746102,0.662243676353691,0.391818019179687,0.254436500132051,0.584940341475607,0.406683815108546,0.777686915618871,0.273104509687362,0.564041439344618,0.391928224353676,0.35968926031554,0.429997256729814,0.414008063401958,0.32278467127159,0.739148739443692,0.458988280610078,0.386294499497388,0.402278071032061,0.716243891025148,0.849977294262216,0.4650853764082,0.848449536428938,0.631349074242903,0.41510535400702,0.812756453912479,0.298737614743566,0.471809729859932,0.662035705922827,0.667879492051047,0.492736697776031
"TCGA-A2-A0CK-01",0.414176481321226,0.789741635669063,0.780809874005078,0.332333531175582,0.482731439384216,0.727948636835921,0.240387618616718,0.0601764722815754,0.249438671440937,NA,0.583569488283972,0.0177629390751245,0.289136978442298,0.610074689744871,0.445258267278408,0.384058919322838,0.898629361070775,0.341598511469316,0.769248070463748,0.302290356935768,0.313364771796897,0.488815967576732,0.681731226619062,0.564862100666725,0.747276466511692,0.623856576478518,0.686964579311188,0.378125860016616,0.432287437971064,0.366229932514362,0.478147242116796,0.65124038790309,0.912601721210935,0.392521639201608,0.580463358474104,0.338418830340657,0.430403291624647,0.557605345636921,0.475826071187032,0.463660414524762,0.397641285668364
"TCGA-A2-A0CL-01",0.431088665043218,0.389951062385906,0.612610846373789,0.474209564810213,0.611970980104592,0.621652062150018,0.188164306610901,0.243013450727169,0.519514257109778,NA,0.575969221212521,0.245655033769297,0.506979819125985,0.407497866001955,0.290355730405725,0.489583006668075,0.376914526027464,0.666755308554622,0.234995668146955,0.539003062724225,0.300156457801997,0.150801700881291,0.72690790824281,0.632417405629032,0.434309794040245,0.381783327992857,0.512456525928291,0.725636585189847,0.367043854673863,0.369594684048061,0.400749330587156,0.44544388569898,0.591731897648243,0.46724269161896,0.336533699965241,0.639924556168608,0.292862758869716,0.485448791455859,0.298247808844248,0.201929286766008,0.421556295389878
"TCGA-A2-A0CM-01",0.29347001675857,0.503382160617565,0.584734247193047,0.27338081043897,0.604011259335608,0.193114350436257,0.378480219410329,0.708984115497728,0.274541371381571,NA,0.523913792857302,0.544072108152858,0.451957418872577,0.278427367389556,0.715309958906752,0.632471348113506,0.529862699450276,0.594920926924984,0.922030704399007,0.476325750423873,0.914714435843946,0.58142595098873,0.825285735670717,0.153945073596398,0.444727837852282,0.169689092038697,0.47941569925814,0.651633387939516,0.608993952973936,0.995569253942865,0.494267353459252,0.384276219548269,0.28010643673941,0.846491683875494,0.323210875355748,0.695595890748236,0.660682616993999,0.527618148173073,0.160766857518452,0.553629770411021,0.342325799275099
"TCGA-A2-A0CP-01",0.601898767786313,0.333587568924365,0.530938249207405,0.540347876678597,0.831983418389188,0.482713598083687,0.581589127309948,0.505839359319028,0.349119132955644,NA,0.655750783295464,0.429024624775894,0.805455263352507,0.171023067558514,0.831376693571881,0.568719048571321,0.736501614595559,0.278677376523654,0.457508833906222,0.169589833733959,0.700768707431644,0.881569799251331,0.647648490636957,0.362643632446589,0.244803034727854,0.835451397100551,0.201415322644052,0.711996244927074,0.443890976384026,0.679778481019169,0.190311031405104,0.187452204936303,0.756592198824672,0.169372028752837,0.608184295112162,0.370113649258157,0.643436035584296,0.401025384152846,0.574523871866481,0.46589522179931,0.306696824762398
"TCGA-A2-A0CQ-01",0.334352552371847,0.921164636212224,0.528418116904596,0.323381038410772,0.419905155702172,0.894459597199741,0.39913613099733,0.829388155769117,0.491567757462328,NA,0.280872890808999,0.837335940013613,0.447987352427885,0.842292732603237,0.305077439009332,0.395365775574084,0.865644661013197,0.666727980723319,0.434666066693724,0.478622227427494,0.26281363304621,0.166890191572247,0.484348999679622,0.354323048568503,0.575113581568859,0.810129360312786,0.432101427344124,0.268603353295818,0.504581945252295,0.373615582068338,0.412740925220509,0.582379832492029,0.833136045624603,0.487322449275937,0.42488100470567,0.367517706894654,0.567924933259741,0.519722002588527,0.42521225554205,0.580786629003797,0.758985988599764
"TCGA-A2-A0CR-01",0.513876152268086,0.785960540159804,0.49288587506928,0.169995471544113,0.713316417997651,0.474904367982339,0.413773252685104,0.139610835389942,0.500513995164108,NA,0.643248311770693,0.00555839013060133,0.316397834145809,0.419550677480387,0.702334489618227,0.475190002030798,0.340632409313082,0.419593457438451,0.761102411490332,0.304892081448801,0.532230264955448,0.299853876823819,0.463889252900321,0.425540926882725,0.871374014882738,0.438025377502543,0.455268512208332,0.677641024925095,0.281116473470729,0.20560742631877,0.279682011095419,0.467489930977158,0.727890151595068,0.334111316812632,0.521093944336159,0.232872930207221,0.186472891026068,0.54611236190488,0.368995238854331,0.30050124443232,0.317381933477602
"TCGA-A2-A0CS-01",0.940283233887297,0.758870841416369,0.855787512593342,0.523864940931702,0.792178230880662,0.663549712335754,0.578630332804465,0.67721532872841,0.460001663620871,NA,0.334191793333749,0.639769873545181,0.595997370577657,0.630192546714045,0.866845217814763,0.838081336740766,0.630668267821806,0.674445288278753,0.388338471538975,0.843855290899414,0.679196897064038,0.740419853194881,0.458537465935785,0.506749857418037,0.665949136800198,0.68617449186528,0.691080684811608,0.717766198040224,0.487381041708236,0.396363762921662,0.649956264010065,0.755649704177524,0.374287555429957,0.446380528908627,0.384320875264986,0.390984989839285,0.816305506930408,0.595235652772588,0.159994707686384,0.425140176092645,0.286776740978879
"TCGA-A2-A0CT-01",0.239942857307464,0.815749186480576,0.609803584767005,0.425927882725096,0.791512594916595,0.720460053213236,0.812552127048205,0.84528091270225,0.18979082968672,NA,0.750468072732779,0.88972434038665,0.666571014115998,0.824021156257061,0.620685823920175,0.708063408371429,0.316787242835634,0.695110283735286,0.428121219343719,0.196259461317498,0.734777108240708,0.591631824946267,0.632928646069193,0.690834099139268,0.139450157836337,0.951081868201655,0.841248103168654,0.260453723253686,0.264380863957692,0.3727661441071,0.577413134387511,0.339598029896052,0.880120698684531,0.444488358618131,0.812282308913831,0.6811897479656,0.52569833271051,0.649254366069277,0.649510363057886,0.467706757541337,0.510081314957532
"TCGA-A2-A0CU-01",0.274454845648391,0.893392948371241,0.817050032582094,0.311913104587334,0.451256852288841,0.722070738681225,0.774532030135334,0.682301818580932,0.229911139182106,NA,0.331236469496185,0.840438956911939,0.324246425807492,0.751210458833078,0.42378222929432,0.809605539957492,0.327296058447134,0.699957457147642,0.458048558288287,0.383719248672058,0.340048037845004,0.25047565487294,0.317150734241783,0.543607231356405,0.556637488599653,0.805399963733631,0.76270879293116,0.506623881854318,0.46590875216908,0.265535837703327,0.665625516954743,0.671242970576317,0.800401727169282,0.392832390100761,0.690689260923288,0.596245541261757,0.693345401027908,0.66096877468339,0.376941522101817,0.73583350145947,0.595267620037833
"TCGA-A2-A0CV-01",0.320630709789067,0.879583593646899,0.367964122772112,0.32846308435223,0.68385947703668,0.793088770014099,0.72452505581736,0.735522588380523,0.335943730959493,NA,0.497573428124125,0.758313060479159,0.662568110897937,0.792236115583193,0.452283186629461,0.219594470927135,0.350719339288024,0.441830078193368,0.457165883242632,0.396880208300564,0.765674615080608,0.299159334180298,0.502657245479192,0.183862217959697,0.370787777268804,0.557338725781149,0.673004309674893,0.511222053257034,0.562221692262678,0.559178391203804,0.36403657198787,0.263530253448288,0.797234353375304,0.0968403626776046,0.50569939119224,0.274193117190877,0.666317951994344,0.559655730057131,0.39428726782444,0.446031109770807,0.475762122398589
"TCGA-A2-A0CW-01",0.372737240836266,0.384202528679546,0.705895652424684,0.429445145033613,0.495961675234357,0.748199563851919,0.542484240531119,0.530358098541736,0.529794745541087,NA,0.590379366585113,0.722257872337709,0.418869520672347,0.549897881527254,0.240209919050598,0.822473822047114,0.66247385671461,0.810312365297609,0.353470834669107,0.745682858475185,0.231532679527869,0.282608169678656,0.582179021159027,0.343023354224926,0.3548402572688,0.435945144992446,0.649042275915241,0.24115241163409,0.554391934394355,0.782373283526946,0.838378191798935,0.664748302603604,0.489138158896926,0.739363332708846,0.290246596005455,0.779338804849132,0.566605467830668,0.409787381490261,0.648583418930789,0.470650056804167,0.490169646108446
