HGNC ID	Approved Symbol	Entrez Gene ID
395	ALAD	210
396	ALAS1	211
397	ALAS2	212
399	ALB	213
400	ALCAM	214
402	ALDH1A1	216
403	ALDH3A2	224
404	ALDH2	217
405	ALDH3A1	218
406	ALDH4A1	8659
407	ALDH1B1	219
408	ALDH5A1	7915
409	ALDH1A3	220
410	ALDH3B1	221
411	ALDH3B2	222
412	ALDH9A1	223
414	ALDOA	226
415	ALDOAP1	391538
416	ALDOAP2	228
417	ALDOB	229
418	ALDOC	230
420	AKR1B1P1	401982
422	AKR1B1P3	729347
423	AKR1B1P4	390402
425	AKR1B1P2	236
427	ALK	238
428	ALMS1	7840
429	ALOX12	239
430	ALOX12B	242
431	ALOX12P1	243
432	ALOX12P2	245
433	ALOX15	246
434	ALOX15B	247
435	ALOX5	240
436	ALOX5AP	241
437	ALPI	248
438	ALPL	249
439	ALPP	250
441	ALPPL2	251
443	ALS2	57679
444	ALS3	
445	SETX	23064
446	ALS5	
447	ZBED1	9189
449	ALX3	257
450	ALX4	60529
451	AMACR	23600
452	AMBN	258
453	AMBP	259
456	AMCN	
457	AMD1	262
460	AMD1P2	263
461	AMELX	265
462	AMELY	266
463	AMFR	267
464	AMH	268
465	AMHR2	269
466	AMLCR2	
467	AMMECR1	9949
468	AMPD1	270
469	AMPD2	271
470	AMPD3	272
471	AMPH	273
473	AMT	275
474	AMY1A	276
475	AMY1B	277
476	AMY1C	278
477	AMY2A	279
478	AMY2B	280
479	AMYP1	281
482	ANCR	
483	ANG	283
484	ANGPT1	284
485	ANGPT2	285
487	ANGPT4	51378
489	ANGPTL1	9068
490	ANGPTL2	23452
491	ANGPTL3	27329
492	ANK1	286
493	ANK2	287
494	ANK3	288
495	ANKRD2	26287
496	RIPK4	54101
497	TRPA1	8989
498	ANOP1	
500	ANPEP	290
507	SLC25A5P3	222005
511	SLC25A5P5	442525
512	SLC25A5P6	644042
513	SLC25A5P7	442255
533	ANXA1	301
534	ANXA10	11199
535	ANXA11	311
536	ANXA13	312
537	ANXA2	302
538	ANXA2P1	303
539	ANXA2P2	304
540	ANXA2P3	305
541	ANXA3	306
542	ANXA4	307
543	ANXA5	308
544	ANXA6	309
545	ANXA7	310
546	ANXA8	653145
547	ANXA9	8416
548	AOAH	313
549	AOC2	314
550	AOC3	8639
553	AOX1	316
554	AP1B1	162
555	AP1G1	164
556	AP1G2	8906
557	SYNRG	11276
558	AP1M2	10053
559	AP1S1	1174
560	AP1S2	8905
561	AP2A1	160
562	AP2A2	161
563	AP2B1	163
564	AP2M1	1173
565	AP2S1	1175
566	AP3B1	8546
567	AP3B2	8120
568	AP3D1	8943
569	AP3M1	26985
570	AP3M2	10947
571	AP3S2	10239
572	AP4B1	10717
573	AP4E1	23431
574	AP4M1	9179
575	AP4S1	11154
576	APAF1	317
578	APBA1	320
579	APBA2	321
580	APBA3	9546
581	APBB1	322
582	APBB2	323
583	APC	324
584	APCS	325
586	APEH	327
587	APEX1	328
588	ATG12	9140
589	ATG5	9474
590	BIRC2	329
591	BIRC3	330
592	XIAP	331
593	BIRC5	332
594	API5	8539
595	API5P1	642812
597	APLP1	333
598	APLP2	334
600	APOA1	335
601	APOA2	336
602	APOA4	337
603	APOB	338
604	APOBEC1	339
605	APOBEC2	10930
607	APOC1	341
608	APOC1P1	342
609	APOC2	344
610	APOC3	345
611	APOC4	346
612	APOD	347
613	APOE	348
615	APOF	319
616	APOH	350
618	APOL1	8542
619	APOL2	23780
620	APP	351
621	NAE1	8883
622	APPBP2	10513
626	APRT	353
630	SHROOM2	357
631	SHROOM2P1	10031
633	AQP1	358
634	AQP2	359
636	AQP3	360
637	AQP4	361
638	AQP5	362
639	AQP6	363
640	AQP7	364
642	AQP8	343
643	AQP9	366
644	AR	367
646	ARAF	369
647	ARAFP2	644000
648	ARC	23237
649	ARCN1	372
651	AREG	374
652	ARF1	375
654	ARF3	377
655	ARF4	378
656	ARL4D	379
657	ARF4P1	380
658	ARF5	381
659	ARF6	382
660	TRIM23	373
661	ARFGAP3	26286
662	ARFRP1	10139
663	ARG1	383
664	ARG2	384
667	RHOA	387
668	RHOB	388
669	RHOC	389
670	RHOD	29984
671	RND3	390
672	RHOG	391
673	ARHGAP1	392
674	ARHGAP4	393
675	ARHGAP5	394
676	ARHGAP6	395
677	ARHGAP8	23779
678	ARHGDIA	396
679	ARHGDIB	397
680	ARHGDIG	398
681	ARHGEF1	9138
682	ARHGEF2	9181
683	ARHGEF3	50650
684	ARHGEF4	50649
685	ARHGEF6	9459
686	RHOH	399
687	DIRAS3	9077
688	RHOJ	57381
689	ARIH1	25820
690	ARIH2	10425
691	PHOX2A	401
692	ARL1	400
693	ARL2	402
694	ARL3	403
695	ARL4A	10124
696	ARL5A	26225
697	ARL6IP1	23204
698	ARL4C	10123
700	ARNT	405
701	ARNTL	406
703	ARPC1A	10552
704	ARPC1B	10095
705	ARPC2	10109
706	ARPC3	10094
707	ARPC4	10093
708	ARPC5	10092
710	ARR3	407
711	ARRB1	408
712	ARRB2	409
713	ARSA	410
714	ARSB	411
716	ARSC2	413
717	ARSD	414
718	ARSDP1	10034
719	ARSE	415
720	ARSEP1	10033
721	ARSF	416
722	ARSFP1	23757
723	ART1	417
724	ART2P	418
725	ART3	419
726	ART4	420
727	ARTN	9048
728	ARVCF	421
731	ARVD3	
732	ARVD4	
735	ASAH1	427
736	NAAA	27163
738	ASCL1	429
739	ASCL2	430
740	ASCL3	56676
741	ASD1	
742	ASGR1	432
743	ASGR2	433
