Node	HGNC.symbols
GF	EGFR
TGFbeta	TGFB1
Migration	CDC42
Invasion	MMP2
Apoptosis	CASP9
p21	CDKN1A
CDH1	CDH1
CDH2	CDH2
VIM	VIM
TWIST1	TWIST1
SNAI1	SNAI1
SNAI2	SNAI2
ZEB1	ZEB1
ZEB2	ZEB2
AKT1	AKT1
DKK1	DKK1
CTNNB1	CTNNB1
NICD	NOTCH1
p53	TP53
p63	TP63
p73	TP73
AKT2	AKT2
ERK	MAPK1
SMAD	SMAD3
