n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
55 MB-3360 19.98 0.102 0.495 0 0.782 0.884 0.95 0.341 0.707181 0.56 0.493 0.0121
56 MB-6116 19.98 0.165 0.495 0 0.875 0.867 0.72 0.976 1 1 0.493 0.0033
57 MB-7181 19.99 0.245 0.495 0.838 0.086 0.537 0.996 0.329 0.163 0.934162 0.493 0.085
58 MB-3748 19.98 0.939 0.495 0 0.505 0.719 0.963 0.644 0.523 0.521 0.493 0.0094
59 MB-0597 19.98 0.003 0.495 0.701803 0.295 0.814 0.982351 0.069 0.309 1 0.493 0.0442
60 MB-0582 19.99 0.176 0.495 0 0.553 0.366 0.78788 0.213 0.598 0.511 0.493 0.0219
61 MB-7109 19.99 0.174 0.495 0.68 0.324 0.241 0.486 0.325075 0.279 0.747 0.493 0.0446
62 MB-3102 19.98 0.229 0.495 0.433 0.367 0.607 0.769 0.686 0.574 0.924 0.493 0.0885
63 MB-7299 19.98 0.008 0.495 0.803 0.299113 0.503 0.974036 0.2 0.134 0.598 0.493 0.0268
64 MB-0417 19.98 0.034 0.495 0.813 0.192 0.543 0.974 0.131 0.176 1 0.493 0.0058
65 MB-5425 19.98 0.052 0.495 0.728 0.415 0.415772 0.794317 0.252879 0.271567 1 0.493 0.0291
66 MB-6234 19.98 0.031 0.495 0.41 0.784 0.521 0.815 0.612 0.599 1 0.493 0.0133
67 MB-2932 19.99 0.076 0.495 0.366 0.384 0.48086 0.819 0.563 0.496 0.763294 0.493 0.0459
68 MB-4757 19.99 0.594 0.495 0 0.953 0.824 0.563 0.985 0.863 0.868 0.493 0.0135
69 MB-2790 19.98 0 0.495 0.868 0.106 0.499 0.885 0.085 0.078 0.555 0.493 0.0068
70 MB-5100 19.99 0.301 0.495 0 0.883 0.637 0.741 0.908 0.867 0.861 0.493 0.0865
71 MB-4091 19.99 0.939 0.495 0.101 0.612 0.435 0.133 0.926 0.509 0.568 0.493 0.0191
72 MB-4744 19.98 0.098322 0.495 0.518 0.816 0.569 0.621 0.76 0.239137 0.451 0.493 0.0388
73 MB-5382 19.98 0.069 0.495 0 0.913 0.584483 0.845 0.555 1 1 0.493 0.0013
74 MB-7040 19.98 0.014 0.495 0.869 0.228 0.591 0.618 0.02 0.104 0.809 0.493 0.0075
75 MB-0615 19.98 0.094 0.495 0 0.967 0.83 0.61 1 0.986 0.983 0.493 0.0044
76 MB-7057 19.98 0.079 0.495 0 0.929 0.781 0.781 0.949 0.626616 0.62 0.493 0.0072
77 MB-5193 19.98 0.011 0.495 0.622 0.559776 0.497 0.74 0.409 0.374038 1 0.493 0.0327
78 MB-0509 19.98 0.011 0.495 0 0.857 0.794 0.885 0.951 1 1 0.493 0.0043
79 MB-7215 19.98 0.011 0.495 0.786 0.397 0.595 0.459924 0.218 0.211 1 0.493 0.0018
80 MB-5277 19.98 0.113 0.495 0.847 0.217 0.591 0.96 0.145 0.086 0.487 0.493 0.005
81 MB-5161 19.98 0.06 0.495 0.599 0.502 0.542699 0.865 0.245 0.398299 1 0.493 0.0289
82 MB-2953 19.98 0.043 0.495 0 0.967 0.618 0.416 0.629 1 1 0.493 0.0041
83 MB-4778 19.98 0.055 0.495 0.522 0.64 0.516282 0.551711 0.449 0.369 0.747 0.493 0.0308
84 MB-4679 19.99 0.337 0.495 0 1 0.481 0.516 1 0.956 0.953 0.493 0.0023
85 MB-7051 19.98 0.099 0.495 0 0.593 0.584 0.884 0.777 0.604347 0.598 0.493 0.0074
86 MB-5114 19.99 0.026 0.495 0 0.665 0.805 0.934 0.578553 0.522 0.522 0.493 0.0682
87 MB-3545 19.98 0.3 0.495 0 0.787 0.643 0.92 0.911 1 1 0.493 0.0014
88 MB-6018 19.98 0.018 0.495 0.653 0.439 0.551937 0.847 0.418 0.344 1 0.493 0.0085
89 MB-5306 19.99 0.139 0.495 0.203 0.724 0.53324 0.826 0.624 0.75 0.488 0.493 0.053
90 MB-0207 19.98 0.115 0.495 0 0.505 0.694 0.887 0.158 1 1 0.493 0.0057
91 MB-5653 19.98 0.068 0.495 0.458896 0.683 0.545 0.846 0.143 0.556 1 0.493 0.0134
92 MB-5238 19.98 0.179 0.495 0.491 0.871 0.551 0.82 0.497 0.267 0.487 0.493 0.0013
93 MB-2842 19.99 0.14 0.495 0 0.489 0.862 0.795 0.893 1 0.516 0.493 0.0034
94 MB-0481 19.99 0.119 0.495 0 0.852 0.533 0.967 0.292 0.815 0.807 0.493 0.119
95 MB-4292 19.99 0.798 0.495 0.422 0.32 0.153039 0.993 0.807 0.448 0.687 0.493 0.0541
96 MB-0284 19.99 0.366 0.495 0 0.756686 0.702 0.962 0.952 0.682 0.669 0.493 0.0169
97 MB-5273 19.98 0.063 0.495 0.671873 0.303 0.476 0.869 0.138 0.244 0.622 0.493 0.0102
98 MB-4692 19.98 0.754 0.495 0.54 0.716 0.373 0.727955 0.448 0.464 1 0.493 0.0184
99 MB-0666 19.98 0.058 0.495 0.245 0.563 0.576 0.731494 0.438 0.765 1 0.493 0.0277
100 MB-6185 19.98 0.155 0.495 0.608 0.411 0.352 0.661 0.372 0.391 1 0.493 0.013
101 MB-0368 19.98 0.126826 0.495 0.119 0.394 0.401 0.946 0.192 0.867 0.521 0.493 0.0145
102 MB-5225 19.99 0.498 0.495 0 0.99 0.462 0.38 0.663 1 1 0.493 0.0213
103 MB-6160 19.98 0.434 0.495 0 1 0.816 0.328 1 0.997 0.998 0.493 0.0038
104 MB-4633 19.98 0.005 0.495 0.629 0.484 0.445 0.849 0.371 0.37 1 0.493 0.0038
105 MB-7298 19.98 0.15 0.495 0.835 0.186 0.714 0.193571 0.133 0.155 0.922 0.493 0.0148
