n_profile Patient_ID Time E2F Hypoxia p53_PTEN IKK VEGF GSK_3_APC_AXIN Bcl_XL PIP3 PI3K Nutrients TH
245 MB-0382 19.98 0.249 0.495 0 0.941 0.741 0.404 0.826 1 1 0.493 0.0019
246 MB-0294 19.98 0.051928 0.495 0.759 0.906 0.575 0.631978 0.405692 0.244 1 0.493 0.0115
247 MB-0232 19.98 0.001 0.495 0.951 0.073 0.677 0.41 0.008 0.028 0.528 0.493 0.0043
248 MB-2629 19.98 0.028 0.495 0.455 0.335 0.72 0.814 0.559 0.394 0.654 0.493 0.0256
249 MB-2823 19.98 0.588 0.495 0.223 0.863 0.554212 0.82 0.748 0.785 0.99 0.493 0.0121
250 MB-7106 19.98 0.015 0.495 0.512 0.54 0.466805 0.539 0.459 0.501506 1 0.493 0.0204
251 MB-4634 19.98 0.017 0.495 0.931 0.764 0.504 0.547 0.078 0.035 0.518 0.493 0.002
252 MB-2947 19.98 0.036 0.495 0.299 0.529 0.702 0.540396 0.29 0.525 0.727 0.493 0.0248
253 MB-0264 19.98 0 0.495 0.918 0.075 0.735 1 0.056 0.068 0.606 0.493 0.0098
254 MB-3439 19.98 0 0.495 0.855 0.335 0.773 0 0.084 0.157 1 0.493 0.0044
255 MB-5197 19.98 0.105 0.495 0.543 0.478 0.734167 0.75855 0.339 0.384 0.807 0.493 0.0338
256 MB-6051 19.98 0.525 0.495 0.879 0.206 0.485 0.714 0.133 0.119 1 0.493 0.0047
257 MB-4865 19.99 0.547 0.495 0 0.949 0.624 0.759 0.997 0.836176 0.584 0.493 0.0021
258 MB-4564 19.98 0.815 0.495 0.627 0.641 0.324 0.85 0.656 0.302 0.759 0.493 0.0173
259 MB-7198 19.99 0.433 0.495 0 0.706 0.636 0.449 0.709 0.523 0.517 0.493 0.0089
260 MB-3874 19.98 0.044 0.495 0 0.466 0.642 0.714334 0.048 1 1 0.493 0.0039
261 MB-3167 19.99 0.29 0.495 0.835 0.169 0.363 0.234 0.363274 0.107 0.517 0.493 0.0228
262 MB-7044 19.98 0.002 0.495 0.695 0.577 0.569 0.825 0.293 0.305 1 0.493 0.0095
263 MB-7090 19.99 0.282 0.495 0 0.972 0.751 0 1 1 1 0.493 0.0026
264 MB-5527 19.98 0.363 0.495 0.809 0.484 0.75198 0.937 0.11 0.188 1 0.493 0.0454
265 MB-2745 19.98 0.002 0.495 0.956 0.293 0.877 0.947 0.031 0.042 1 0.493 0.0061
266 MB-0514 19.98 0.189 0.495 0.159 0.718 0.564 0.532 0.262 0.855 1 0.493 0.0192
267 MB-0341 19.98 0.002 0.495 0.717 0.26 0.942 0.995 0.057 0.277228 0.738 0.493 0.0111
268 MB-5341 19.98 0.06 0.495 0.705 0.212 0.527 0.938 0.381 0.185 0.525 0.493 0.0193
269 MB-7270 19.99 0.271 0.495 0.861 0.690842 0.573 0.334 0.004 0.146491 0.88 0.493 0.0129
270 MB-5384 19.98 0.254 0.495 0.793 0.381 0.632 0.983 0.204 0.141486 0.555 0.493 0.0064
271 MB-4224 19.99 0.754 0.495 0.271 0.362 0.403 0.957 0.73 0.318 0.419 0.493 0.0103
272 MB-2996 19.98 0.005 0.495 0.69208 0.106 0.404 0.983 0.237762 0.22 0.594 0.493 0.0262
273 MB-6214 19.98 0.049 0.495 0.682 0.356 0.567 0.436 0.282 0.319 1 0.493 0.0099
274 MB-2556 19.98 0.496 0.495 0.861 0.461 0.583769 0.996 0.098 0.137 0.974 0.493 0.0072
275 MB-2643 19.99 0.008 0.495 0.549 0.644 0.824 0.915 0.102 0.461 0.938 0.493 0.009
276 MB-4368 19.98 0.844999 0.495 0.371 0.707999 0.295 0.945668 0.613999 0.629463 0.999999 0.492999 0.0065
277 MB-5134 19.98 0.276748 0.495 0.769 0.385 0.553 0.848 0.22 0.227 1 0.493 0.0089
278 MB-0383 19.98 0.04 0.495 0.563 0.538437 0.71865 0.839 0.106955 0.366043 0.724 0.493 0.036
279 MB-7278 19.98 0.058 0.495 0.745 0.251 0.657 0.819 0.221 0.259 1 0.493 0.0119
280 MB-0472 19.99 0.002 0.495 0.901 0.444 0.581 0.878 0.08 0.059 0.601 0.493 0.0166
281 MB-4809 19.99 0.632 0.495 0 0.997 0.775 0.39 0.867 0.971 0.879 0.493 0.0376
282 MB-4154 19.99 0.883 0.495 0 0.878 0.548 0.557144 1 0 0 0.493 0.0034
283 MB-4254 19.99 0.569 0.495 0 0.992 0.693 0.138 0.98 0.988 0.986 0.493 0.0031
284 MB-4222 19.99 0.829 0.495 0.111992 0.75 0.515 0.003 0.803 0.894 1 0.493 0.0137
285 MB-7231 19.98 0.047 0.495 0.789 0.18 0.777 0.903 0.13 0.13785 0.647 0.493 0.0138
286 MB-4282 19.98 0.573 0.495 0 0.68 0.461 0.62 0.76 0.481 0.486521 0.493 0.0063
287 MB-0155 19.98 0.023 0.495 0.741 0.507 0.59 0.876 0.257 0.21 0.648 0.493 0.0211
288 MB-6211 19.98 0.022 0.495 0.465 0.655 0.501 0.847 0.65 0.533 1 0.493 0.0151
289 MB-7135 19.98 0.197 0.495 0.995 0.083318 0.294 0.662 0.004 0.003 0.478 0.493 0.0068
290 MB-0144 19.98 0.012 0.495 0.78 0.349 0.567 0.829 0.221 0.216 1 0.493 0.0038
291 MB-6284 19.98 0.035 0.495 0.862 0.153 0.659 0.506 0.72 0.07 0.301 0.493 0.1309
292 MB-3211 19.99 0.386 0.495 0.145 0.592758 0.431 0.978 0.118 0.86 0.963 0.493 0.04
293 MB-4790 19.98 0.067 0.495 0.842 0.42 0.587787 0.867 0.22 0.099 0.53 0.493 0.0177
294 MB-0106 19.98 0.022 0.495 0.585 0.374 0.672 0.905 0.393 0.417 1 0.493 0.0171
295 MB-4722 19.98 0.009 0.495 0.631 0.266 0.362 0.918 0.159 0.364 1 0.493 0.0168
296 MB-0060 19.99 0.886 0.495 0.050067 0.77 0.642 0.468 0.614 0.907 0.641 0.493 0.0278
297 MB-2769 19.98 0.004 0.495001 0.757001 0.16 0.470056 0.331 0.139 0.235 0.924546 0.493001 0.0218
298 MB-7034 19.99 0.063 0.495 0.705046 0.183 0.722 0.341941 0.217 0.208 0.660904 0.493 0.0071
299 MB-0630 19.99 0.347663 0.495 0.836 0.096 0.802 0.681 0.105 0.11 0.504 0.493 0.0117
300 MB-6288 19.98 0.097 0.495 0 0.445 0.803453 0.911 0.968 0.272399 0.257 0.493 0.0106
301 MB-2642 19.98 0.006 0.495 0.936 0.174204 0.871 0.972 0.027 0.066 1 0.493 0.0035
302 MB-6200 19.99 0.057 0.495 0 0.87 0.838 0.29272 0.301 1 1 0.493 0.0112
303 MB-3479 19.98 0.015 0.495 0.818 0.516346 0.546 0.544412 0.157 0.133741 0.714 0.493 0.0027
304 MB-0201 19.99 0.074494 0.495 0 0.841 0.466 0.586 0.735 0.486 0.503 0.493 0.1598
305 MB-4233 19.99 0.455 0.495 0 0.691 0.471 0.728 0.963 0.615 0.534 0.493 0.0059
306 MB-2820 19.98 0.364 0.495 0 0.509 0.443 0.891 0.411 1 0.869 0.493 0.0219
307 MB-2896 19.98 0.056629 0.495 0 0.487 0.589 0.247007 0.281 1 1 0.493 0.001
308 MB-0245 19.98 0.001 0.495 0.738 0.326 0.436 0.983 0.265 0.258 1 0.493 0.0038
309 MB-7095 19.98 0.015 0.495 0 0.7 0.304 0.841 0.157 1 1 0.493 0.0198
310 MB-6256 19.98 0.006 0.495 0.657 0.263 0.622 0.981 0.285474 0.219 0.517 0.493 0.006
311 MB-7069 19.98 0.3 0.495 0 0.924 0.801 0.593 1 1 1 0.493 9e-04
312 MB-3536 19.98 0.22173 0.495 0 0.999 0.661 0.939 0.28 1 1 0.493 0.0012
313 MB-3165 19.99 0.717985 0.495 0 0.964 0.687 0.115 0.582 0.699 0.689 0.493 0.0754
314 MB-7172 19.98 0.001 0.495 0.913154 0.111 0.582 0.933 0.231 0.045 0.517 0.493 0.0085
315 MB-7081 19.99 0.096 0.495 0.867 0.157 0.699 0.427 0.008 0.128 0.538 0.493 0.0099
316 MB-0339 19.98 0.001 0.495 0.787 0.15 0.836529 0.992 0.013 0.153 0.63 0.493 0.0151
317 MB-2901 19.99 0.558 0.495 0.458 0.383 0.539 0.767 0.696751 0.496 0.895 0.493 0.0635
318 MB-3013 19.98 0 0.495 0.743 0.249 0.653 0.989 0.05 0.208 0.736 0.493 0.0047
319 MB-5229 19.98 0.063445 0.495 0 0.933 0.688 0.62 1 1 1 0.493 0.0041
320 MB-6190 19.98 0.072 0.495 0.739901 0.251 0.503 0.827189 0.203 0.212 0.714 0.493 0.0171
321 MB-7226 19.99 0.326 0.494999 0.371999 0.412 0.829999 0.425003 0.244 0.581 0.556156 0.493 0.0205
322 MB-0108 19.99 0.03 0.495 0 0.797786 0.843 0.998 0.365 0.995 0.995 0.493 0.0775
323 MB-7277 19.98 0.076 0.495 0.886699 0.114 0.527 0.438248 0.047 0.05 0.438 0.493 0.0201
324 MB-5088 19.98 0.057 0.495 0.493 0.576 0.522 0.813 0.491 0.513 1 0.493 0.0146
325 MB-7268 19.98 0.012 0.495 0.928 0.078 0.163 0.489 0.045 0.073 1 0.493 0.0082
326 MB-7079 19.99 0.01 0.495 0.79 0.462 0.534 0.976 0.193 0.20165 1 0.493 0.0019
327 MB-2999 19.98 0.397653 0.495 0.482121 0.213 0.349 0.982 0.371724 0.295 0.517 0.493 0.0145
328 MB-5244 19.98 0.033 0.495 0.779 0.210712 0.548512 0.981 0.148 0.222 1 0.493 0.0103
329 MB-5633 19.98 0.327 0.495 0.771 0.666 0.612 0.8 0.288 0.207 0.952 0.493 0.0294
330 MB-0222 19.98 0.026 0.495 0.552 0.452946 0.604048 0.914 0.399 0.44 1 0.493 0.0281
331 MB-3021 19.98 0.998 0.495 0.935113 0.207 0.579 1 0.025 0.018 0.261 0.493 0.004
332 MB-2536 19.98 0.265 0.495 0.564 0.402 0.576 0.932 0.156 0.436 1 0.493 0.0179
333 MB-0410 19.98 0.067 0.495 0.661 0.317 0.788 0.885 0.248 0.339 1 0.493 0.0134
334 MB-2857 19.98 0.279812 0.495 0 0.579 0.687 0.785879 0.369 0 0 0.493 0.1192
335 MB-0356 19.98 0.068 0.495 0.812 0.298 0.512 0.934 0.138 0.184 1 0.493 0.0094
336 MB-6075 19.99 0.432313 0.495 0.253568 0.349 0.52 0.945 0.853 0.715 0.818 0.493 0.1172
337 MB-4832 19.99 0.005 0.495 0.705 0.542 0.423 0.468 0.364 0.293 1 0.493 0.053
338 MB-4639 19.98 0.244 0.495 0.903 0.336 0.468 0.466 0.695 0.093 1 0.493 0.0261
339 MB-6105 19.98 0.112752 0.495 0.679 0.457 0.458 0.695 0.302 0.324 1 0.493 0.0061
340 MB-5453 19.98 0.072 0.495 0.702 0.544 0.561 0.86 0.173 0.299939 1 0.493 0.0057
341 MB-0218 19.98 0.004 0.495 0.913 0.255 0.663 0.963 0.052 0.075 0.745 0.493 0.0058
342 MB-6217 19.98 0.194 0.495 0.849 0.350526 0.69 0.506 0.756 0.094 0.471 0.493 0.0637
343 MB-2850 19.99 0.08 0.495 0.963 0.27 0.552 0.998 0.009 0.033 0.969 0.493 0.0097
344 MB-4965 19.99 0.082 0.495 0.505 0.406 0.282 0.917 0.505 0.21 0.394 0.493 0.0562
345 MB-0501 19.98 0.013 0.495 0.818 0.171 0.731 0.975 0.082 0.106 0.531 0.493 0.0125
346 MB-0224 19.98 0.01 0.495 0.765 0.294 0.708 0.967 0.248 0.237 1 0.493 8e-04
347 MB-0257 19.98 0.011 0.495 0.945 0.072 0.608 0.996 0.047 0.052 1 0.493 0.003
348 MB-5602 19.99 0.087 0.495 0 0.889146 0.556 0.932 0.853 0.805 0.79 0.493 0.0061
349 MB-5050 19.98 0.049 0.495 0.479 0.595 0.542401 0.774 0.489 0.528 1 0.493 0.0109
350 MB-4127 19.99 0.622049 0.495 0.926 0.305 0.426 0.982 0.068 0.053 0.685 0.493 0.0105
351 MB-5060 19.98 0.242 0.495 0.622 0.37 0.483 0.876 0.313 0.376 1 0.493 0.0115
352 MB-0270 19.99 0.143 0.495 0.973 0.019 0.819 1 0.014998 0.01 0.459 0.493 0.0049
353 MB-2933 19.98 0.305223 0.495 0.833 0.233 0.529 0.737 0.095 0.164 1 0.493 0.005
354 MB-0313 19.99 0.086 0.495 0 0.911 0.526217 0.962 0.973 0.978 0.96 0.493 0.0129
355 MB-0636 19.98 0.03 0.495 0 0.918 0.631 0.748641 0.976 0.835 0.793676 0.493 0.0017
356 MB-5510 19.98 0.001 0.495 0.765 0.25 0.382 0.991 0.138 0.244 1 0.493 0.0049
357 MB-0519 19.98 0.055 0.495 0 0.72 0.653 0.816937 0.85 0.564 0.565 0.493 0.0045
358 MB-5293 19.98 0.271 0.495 0.793 0.512 0.656 0.703 0.246 0.211 1 0.493 0.0092
359 MB-0877 19.99 0.082 0.495 0 0.394 0.767 0.935 0.526 1 1 0.493 0.0045
360 MB-0345 19.98 0.01 0.495 0.72 0.34819 0.253895 0.787244 0.256563 0.278 1 0.493 0.0081
361 MB-7012 19.99 0.656 0.495 0.464161 0.643 0.576 0.128 0.484 0.389527 0.652 0.493 0.0314
362 MB-7096 19.98 0.026 0.495 0.45 0.403 0.301382 0.495 0.264 0.267 0.438381 0.493 0.0501
363 MB-5459 19.99 0.294 0.495 0.617 0.651 0.679 1 0.454 0.381 0.985 0.493 0.0339
364 MB-7041 19.98 0 0.495 0.749 0.334 0.762 0.983 0.288 0.25 1 0.493 0.0032
365 MB-2833 19.98 0.008 0.495 0 0.58 0.708326 0.937 0.989 0.906 0.898 0.493 0.0075
366 MB-6257 19.98 0.025 0.495 0.51 0.216 0.521 0.812 0.132 0.298 0.466 0.493 0.0356
367 MB-5188 19.99 0.52 0.495 0.564 0.306 0.663 0.973 0.266458 0.34 0.718018 0.493 0.0328
368 MB-4688 19.98 0.096 0.495 0.912 0.157 0.515 0.771 0.064 0.049 0.517 0.493 0.0065
369 MB-4323 19.99 0.535 0.495 0.842 0.422386 0.517 0.971 0.163 0.166 1 0.493 0.0206
370 MB-3412 19.98 0.002 0.495 0.759 0.277 0.557 0.712 0.188 0.244 1 0.493 0.0056
371 MB-6030 19.98 0.114233 0.495 0.747 0.308032 0.549498 0.923 0.227 0.25 1 0.493 0.0063
372 MB-7013 19.98 0.049985 0.495 0.431 0.687 0.418 0.450336 0.427242 0.302 0.525 0.493 0.0212
373 MB-5184 19.98 0.02 0.495 0.670999 0.602377 0.685812 0.860999 0.328 0.328 0.999999 0.493 0.0118
374 MB-0643 19.98 0.118 0.495 0 0.955 0.802 0.762 0.99 1 1 0.493 0.0016
375 MB-6085 19.99 0.2 0.495 0.431 0.754 0.809 0.393 0.572 0.581051 1 0.493 0.0215
376 MB-5256 19.98 0.124 0.495 0.547 0.76 0.561 0.756 0.327 0.148 0.301332 0.493 0.0445
377 MB-7124 19.98 0.056 0.495 0.852 0.105 0.297 0.888 0.177 0.071 0.524 0.493 0.0054
378 MB-4899 19.98 0.086 0.495 0.933 0.388 0.628 0.949 0.066 0.062 1 0.493 0.0048
379 MB-5348 19.99 0.26624 0.495 0 0.856 0.611 0.782 0.959 0.985 0.982 0.493 0.0122
380 MB-4801 19.98 0.023 0.495 0.75 0.201 0.43 0.998 0.209 0.22012 0.855 0.493 0.009
381 MB-5464 19.98 0.002 0.495 0.842 0.142 0.438 0.912 0.029 0.06 0.38044 0.493 0.0115
382 MB-5656 19.98 0.008 0.495 0.792 0.784 0.562 0.878 0.308 0.204 1 0.493 0.0063
383 MB-2994 19.98 0.015836 0.495 0.854 0.212 0.623772 0.918 0.108 0.111 0.696 0.493 0.0034
384 MB-3382 19.98 0.140745 0.495 0.907 0.277 0.617 0.977383 0.08 0.061 0.592 0.493 0.0072
385 MB-5447 19.98 0.187834 0.495 0.823 0.192 0.701 0.612 0.189 0.12 0.543 0.493 0.0216
386 MB-2750 19.98 0.006 0.495 0.852 0.217 0.788 0.898 0.253 0.148 1 0.493 0.0037
387 MB-5278 19.99 0.312 0.495 0.582 0.782 0.803 0.335 0.34 0.363 0.853 0.493 0.0448
388 MB-4548 19.99 0.912 0.495 0 0.885 0.434 0.167 1 0.603611 0.593 0.493 0.0024
389 MB-4737 19.98 0.15 0.495 0.569 0.479 0.826 0.281 0.188 0.439 1 0.493 0.0174
390 MB-6131 19.98 0.524 0.495 0 0.962 0.726 0.047452 1 1 1 0.493 0.001
391 MB-7194 19.99 0.108 0.495 0.804 0.216 0.428 0.916 0.163 0.145 0.576 0.493 0.0067
392 MB-4591 19.99 0.572 0.495 0.381 0.425 0.509 0.148 0.733 0.576 0.897 0.493 0.0537
393 MB-5575 19.99 0.28 0.495 0.592 0.567 0.518 0.942 0.285 0.414048 0.917 0.493 0.0569
394 MB-7000 19.99 0.04 0.495 0.511 0.320496 0.458 0.469 0.653 0.301031 0.542 0.493 0.0318
395 MB-4714 19.99 0.563 0.495 0 0.975 0.838 0.003 1 0.967 0.95 0.493 0.003
396 MB-5270 19.98 0.014 0.495 0.984 0.068 0.769 0.887 0.009 0.016 1 0.493 0.001
397 MB-0590 19.99 0.316776 0.495 0.613 0.072 0.765 0.889 0.418 0.392749 0.72 0.493 0.0216
398 MB-7052 19.99 0.365 0.495 0.779 0.427 0.546 0.926 0.016 0.225 0.744 0.493 0.0165
399 MB-0574 19.98 0.001 0.495 0 0.907 0.368 0.646 0.996 1 1 0.493 0.0019
400 MB-7107 19.98 0.002 0.495 0.826 0.13 0.086 0.994 0.091 0.159 1 0.493 0.0029
401 MB-5617 19.98 0.058 0.495 0.505 0.41 0.608 0.912 0.389 0.284 0.519 0.493 0.0163
402 MB-0623 19.98 0.001 0.495 0.652 0.441 0.68783 0.943 0.344 0.348 1 0.493 0.0022
403 MB-6305 19.99 0.123 0.495 0 0.893 0.888 0.263 0.785 0.872 0.880387 0.493 0.0594
404 MB-4872 19.98 0.283084 0.495 0.543 0.605 0.544 0.894 0.51 0.454 1 0.493 0.0124
405 MB-7088 19.98 0.134 0.495 0 0.998 0.502 0.312 0.963 1 1 0.493 0.0027
406 MB-0036 19.98 0.058 0.495 0.445 0.247 0.789 0.963 0.128 0.302 0.474 0.493 0.0213
407 MB-0413 19.98 0.018 0.495 0.749 0.319 0.669 0.9 0.228 0.127 0.5 0.493 0.0203
408 MB-4896 19.98 0.343609 0.495 0 0.996 0.441 0.236 1 0.954 0.946 0.493 0.0097
409 MB-4322 19.99 0.691 0.495 0.592 0.505 0.318072 0.98 0.827 0.417 1 0.493 0.012
410 MB-4725 19.98 0.038 0.495 0 0.472 0.61087 0.914 0.85 0.413 0.419 0.493 0.0072
411 MB-0223 19.98 0.021 0.495 0.457 0.573962 0.584 0.756 0.566 0.564 1 0.493 0.0295
412 MB-0412 19.99 0.07 0.495 0 0.879 0.811488 0.302 0.815 0.916 0.839 0.493 0.0053
413 MB-5240 19.98 0.109 0.495 0.757 0.288 0.589544 0.653 0.234 0.114 0.385 0.493 0.0195
414 MB-0054 19.99 0.009 0.495 0.394735 0.723 0.901 0.4 0.168 0.618 1 0.493 0.0115
415 MB-4360 19.99 0.532 0.495 0 0.869 0.466 0.888 0.673 1 1 0.493 0.0079
416 MB-5318 19.98 0.614 0.495 0 0.552 0.604 0.966 0.977 0.578 0.469 0.493 0.0071
417 MB-7119 19.99 0.302 0.495 0 0.986 0.590009 0.231 0.787 0.955 0.793 0.493 0.0248
418 MB-4996 19.99 0.045 0.495 0.589 0.438 0.339 0.656 0.144 0.414 1 0.493 0.0576
419 MB-4640 19.99 0.574898 0.495 0 0.899 0.582 0.471465 0.993 0.763 0.568 0.493 0.0056
420 MB-5231 19.98 0.387 0.495 0 0.765 0.558 0.65 0.933 0.642 0.643 0.493 0.0075
421 MB-5421 19.99 0.218 0.495 0 0.971 0.762 0.333 0.592 0.981 0.977 0.493 0.0598
422 MB-0607 19.98 0.109 0.495 0 0.796664 0.641 0.422 0.993 1 1 0.493 0.003
423 MB-5345 19.98 0.519 0.495 0.457 0.604 0.504 0.409 0.499 0.551 1 0.493 0.018
424 MB-5166 19.98 0.417 0.495 0 0.9 0.24 0.705 1 1 1 0.493 0.0034
425 MB-5173 19.99 0.322981 0.495 0 0.836 0.358 0.73 0.584 0.974 0.923 0.493 0.0367
426 MB-5543 19.98 0.003 0.495 0.766 0.43 0.635 0.807 0.319 0.231 1 0.493 0.0177
427 MB-2614 19.98 0.007 0.495 0.867 0.095093 0.632 0.999 0.052 0.133 1 0.493 0.0046
428 MB-4731 19.99 0.401 0.495 0 0.812 0.629246 0.83 0.971 0.517 0.517 0.493 0.0037
429 MB-5584 19.99 0.098 0.495 0 0.895 0.625 0.729505 0.986 1 1 0.493 0.001
430 MB-6212 19.98 0.014 0.495 0.766 0.336 0.644 0.886 0.286 0.237 1 0.493 0.0066
431 MB-4694 19.99 0.802 0.495 0 0.675 0.401 0.773358 0.974 0.656 0.641363 0.493 0.0438
432 MB-5154 19.98 0.131 0.495 0 0.826 0.604519 0.767 0.979 0.543 0.544 0.493 0.0125
433 MB-5228 19.98 0.26 0.495 0 0.848 0.569 0.791 1 0.31 0.318 0.493 0.0146
434 MB-7264 19.98 0.730615 0.495 0 0.843394 0.620573 0.631 1 0.797455 0.788 0.493 0.0183
435 MB-4381 19.99 0.745 0.495 0.209 0.5 0.318 0.896 0.734 0.803 1 0.493 0.0109
436 MB-0145 19.98 0.014 0.495 0.588 0.47 0.579 0.785 0.386636 0.281 0.638 0.493 0.0367
437 MB-5330 19.98 0.090803 0.495 0.41705 0.602187 0.615 0.88 0.142 0.54411 0.303 0.493 0.0385
438 MB-2969 19.98 0.244233 0.495 0.484606 0.41 0.538 0.769 0.452 0.527 1 0.493 0.0125
439 MB-4250 19.98 0.053 0.495 0 0.943 0.644 0.957 0.923 1 0.517 0.493 0.0013
440 MB-4395 19.99 0.468 0.495 0.858 0.359522 0.123 0.989 0.132 0.109 0.757 0.493 0.0578
441 MB-5328 19.99 0.06 0.495 0.662 0.392 0.529152 0.859 0.782346 0.208 0.52 0.493 0.0253
442 MB-4557 19.98 0.525 0.495 0.832 0.53 0.485 0.882 0.298448 0.173 1 0.493 0.0107
443 MB-4779 19.98 0.043 0.495 0.447709 0.785 0.583 0.81 0.63 0.56 1 0.493 0.0165
444 MB-4785 19.99 0.045 0.495 0 0.88 0.493 0.028 0.374 1 0.526 0.493 0.0138
445 MB-5403 19.98 0.013 0.495 0.404 0.478 0.551292 0.797 0.244 0.611897 1 0.493 0.1084
446 MB-0516 19.99 0.457 0.495 0 0.832 0.797 0.904 1 0.998 0.998 0.493 0.0016
447 MB-4701 19.98 0 0.495 0.929 0.233 0.856 0.989 0.065 0.044 0.479 0.493 0.0026
448 MB-4970 19.99 0.004 0.495 0.943 0.57 0.405 0.847 0.037 0.050665 1 0.493 0.0102
449 MB-0373 19.98 0.12 0.495 0 0.857 0.716 0.864 0.995 1 1 0.493 9e-04
450 MB-0418 19.99 0.338 0.495 0.593 0.478 0.737 0.808 0.113 0.372 0.478785 0.493 0.0205
451 MB-2923 19.98 0.448 0.495 0.986 0.073 0.762 0.987 0.012 0.012 1 0.493 0.0057
452 MB-4712 19.99 0.401 0.495 0 0.915 0.665 0.919 1 1 1 0.493 7e-04
453 MB-4119 19.99 0.677 0.495 0.411 0.331 0.278 0.067 0.768 0.301 0.512 0.493 0.0789
454 MB-0177 19.98 0.003 0.495 0.754 0.317 0.628 0.693 0.24 0.169 0.623 0.493 0.0045
455 MB-3028 19.99 0.189 0.495 0 0.95 0.59 0.317 1 0.366 0.38 0.493 0.0093
456 MB-4758 19.99 0.263 0.495 0 0.969 0.540486 0.652 0.720682 0.967 0.957 0.493 0.0389
457 MB-0442 19.99 0.007 0.495 0.662 0.712 0.518 0.518458 0.285 0.342 1 0.493 0.0157
458 MB-6059 19.98 0.01 0.495 0 0.554 0.658398 0.97 0.84636 0.671 0.663 0.493 0.0071
459 MB-4442 19.98 0.766 0.495 0.905 0.612 0.388 0.67 0.554 0.052 0.555 0.493 0.0103
460 MB-5105 19.98 0.119 0.495 0.616 0.397 0.321 0.969 0.072 0.392 1 0.493 0.0136
461 MB-6058 19.99 0.524 0.495 0 0.845 0.643 0.86 0.742 0.938 0.789 0.493 0.0434
462 MB-5526 19.99 0.727 0.495 0 0.8844 0.732 0.562519 0.33 0.852 0.841 0.493 0.2774
463 MB-3277 19.99 0.200839 0.495 0 0.913 0.695 0.443 0.16 0.989 0.934 0.493 0.0166
464 MB-4828 19.99 0.132 0.495 0.731 0.407 0.533 0.375 0.523 0.199 0.727 0.493 0.0577
465 MB-3222 19.98 0.012 0.495 0.897 0.134 0.694 0.53 0.041 0.106 1 0.493 0.0044
466 MB-6317 19.98 0.014 0.495 0 0.541 0.7 0.986 0.972 0.746 0.729 0.493 7e-04
467 MB-2858 19.98 0.402 0.495 1 0.055 0.453 0.731 0 0 1 0.493 0.0025
468 MB-6012 19.99 0.779 0.495 0.307 0.774 0.664 0.084 0.756 0.702 1 0.493 0.0141
469 MB-7141 19.98 0.054 0.495 0.789308 0.343 0.369 0.62 0.063 0.087 0.323 0.493 0.0116
470 MB-0524 19.98 0.021 0.495 0 0.695 0.775 0.497 0.967 0.937 0.901 0.493 0.0058
471 MB-4981 19.99 0.01 0.495 0.242 0.897 0.592 0.553 0.739828 0.77 1 0.493 0.0117
472 MB-0631 19.98 0.002 0.495 0.734 0.333 0.252 0.922 0.28 0.261 1 0.493 0.0428
473 MB-5654 19.98 0.986 0.495 0.82 0.396134 0.566 0.985 0.148 0.174 1 0.493 0.0069
474 MB-5444 19.98 0.012 0.495 0.579 0.574 0.663 0.88 0.428 0.411 0.947 0.493 0.0448
475 MB-4602 19.99 0.395 0.495 0.5 0.516 0.348489 0.914 0.697 0.357 0.691 0.493 0.0411
476 MB-6327 19.99 0.032 0.495 0.364 0.517 0.573 0.626 0.737 0.539 0.155 0.493 0.1946
477 MB-0463 19.98 0.008 0.495 0 0.592 0.385 0.913 0.362 1 1 0.493 0.003
478 MB-5548 19.99 0.220668 0.495 0 0.916 0.694 0.374 0.548 0.888 0.551 0.493 0.1311
479 MB-0470 19.99 0.154 0.495 0.355 0.588248 0.382 0.895 0.653 0.657 1 0.493 0.0409
480 MB-5404 19.98 0.039984 0.495 0.632 0.952 0.322 0.447 0.357 0.370859 1 0.493 0.0278
481 MB-4687 19.98 0.506 0.495 0 0.866 0.818 0.556 1 1 1 0.493 0.0019
482 MB-4883 19.99 0.052 0.495 0.842 0.24 0.212 0 0.535 0.151 1 0.493 0.0158
483 MB-0487 19.98 0.032 0.495 0.498 0.455 0.64 0.903 0.437 0.509 1 0.493 0.011
484 MB-4908 19.98 0.398 0.495 0 0.999 0.595 0.75 1 1 1 0.493 0
485 MB-0496 19.98 0.004 0.495 0.498969 0.411452 0.78 0.739 0.192 0.508 1 0.493 0.1081
486 MB-3300 19.98 0.056 0.495 0.536 0.082 0.507 0.432319 0.418823 0.334 0.527 0.493 0.0215
487 MB-5174 19.99 0.919 0.495 0 0.972 0.422014 0.042 1 0.94 0.928 0.493 0.0037
488 MB-5554 19.98 0.053 0.495 0.883 0.313 0.59 0.893 0.117 0.114 1 0.493 0.0073
489 MB-6050 19.98 0.052 0.495 0.877 0.142 0.274 0.153 0.127552 0.12 1 0.493 0.0105
490 MB-7252 19.99 0.547 0.495 0.834424 0.678 0.559 0.296124 0.137 0.168 1 0.493 0.0128
491 MB-6263 19.98 0.074 0.495 0.615 0.747 0.61 0.461 0.476 0.271 0.649 0.493 0.0106
492 MB-5388 19.98 0.03 0.495 0.739 0.245 0.380557 0.948 0.682 0.258 1 0.493 0.0342
493 MB-5300 19.98 0.002 0.495 0.735 0.348 0.612376 0.979 0.176368 0.148495 0.52 0.493 0.0107
